p1_xyzE,pmup_xyzE,pmum_xyzE,p3_xyzE
"[0.5591204595592792, -0.0067659505259358285, 7.333445327189444, 7.414339901787953]","[0.2721552173069117, 1.1352998293044405, 4.478468212672463, 4.629342859370836]","[1.2864925063348638, -1.8370807891303116, 4.752448115805762, 5.256125521811398]","[-2.1177681832010515, 0.7085469103518052, 12.467057972969446, 12.700191717029819]"
"[0.9275342185013455, 1.6050592443270333, 14.26902038768647, 14.419494861973728]","[-0.5067075500774885, -1.5179109702453677, 2.1802072155463756, 2.7065242231654323]","[0.47891034487180145, 0.9405816997141705, 5.384053309290795, 5.487553435048408]","[-0.8997370132956584, -1.02772997379583, 7.198138716113471, 7.386427479812433]"
"[0.7882587174517667, 0.4016611556211579, 11.478213385891443, 11.550429445159827]","[-0.43546013803692113, -0.18293667970752045, 13.155231338805565, 13.164131819115822]","[-0.06426497852906227, 1.198643637359726, 1.9148431781359012, 2.2624465886879825]","[-0.2885336008857827, -1.4173681132733646, 2.483131725804194, 3.022992147036362]"
"[-1.0317123523299816, -1.5002090302604267, 3.831800508447932, 4.34489435946963]","[1.755636368342596, 1.8976063187186043, 9.925260666986283, 10.256955285038389]","[-0.4666839531143353, -0.1369446733216625, 10.816112007884481, 10.82755698833825]","[-0.2572400628982844, -0.2604526151365222, 4.458246445318316, 4.57059336715363]"
"[-0.5763136628041865, -0.8368927282338968, 3.551516807483152, 3.8113190441532003]","[-0.774829316644172, -0.4348887934179568, 3.315827869399946, 3.434438353650446]","[2.2987498419219805, 1.0969776348990807, 5.8064843082147926, 6.341453650521601]","[-0.9476068624736307, 0.1748038867527692, 16.35759064353922, 16.41278895167475]"
"[0.4046773682292576, -0.029417324495024297, 1.7103328312101036, 1.9925415656483998]","[-1.240804426865902, -0.8653691366767877, 5.901815520269488, 6.093525204403485]","[0.6100498768330876, 0.13104452412039752, 20.099044243494355, 20.10900486434954]","[0.22607718180355474, 0.7637419370514121, 1.3202270336631594, 1.804928365598565]"
"[-1.1076197850288823, -0.6604293336050541, 8.849142860543324, 8.99170018434569]","[0.15311603539494684, 1.0938184858003364, 4.226939777632919, 4.370133510188565]","[1.9437893101685624, -1.8894366846577952, 9.724498410336324, 10.095807090730979]","[-0.9892855605346254, 1.4560475324625124, 6.230838580124536, 6.542359214734759]"
"[1.2592504016297579, -0.8840584626109985, 15.453447788286713, 15.558170645374936]","[-1.5729276865470871, 0.9667640871574625, 2.6280798621220534, 3.2135185827966275]","[0.9902365734079787, -0.5483829869532477, 3.6587887349090096, 3.8313432359103006]","[-0.6765592884906508, 0.46567736240678487, 7.291103243319331, 7.396967535918133]"
"[-1.4323385128519692, 0.3959025341031887, 4.958245207627906, 5.260502097410228]","[-0.7816273476712378, 0.25523479890904155, 5.886607913957216, 5.944695320941977]","[2.7938036903724184, -0.6675117439445968, 16.689538614653266, 16.935252397635207]","[-0.5798378298491672, 0.01637441093235753, 1.4970278923988216, 1.85955018401269]"
"[0.41136262492855835, -0.8151375803400155, 7.5997431705179554, 7.711687175183457]","[0.4073440346107609, 0.2545091891967114, 11.234891754369201, 11.245650734184998]","[-1.0997935751772325, 2.1062039533966814, 6.4083359483302935, 6.835464449540445]","[0.28108691563791605, -1.5455755622533882, 3.7884487554196076, 4.207197641091048]"
"[0.7730008680493967, 1.614715231682562, 15.36028594947457, 15.492694227184717]","[1.4411780069700102, -0.7233308876041156, 8.068075137196978, 8.228317060806312]","[-1.348603458340924, -0.17482517133545525, 2.908411814864997, 3.2123695345012653]","[-0.865575416678483, -0.7165591727429885, 2.694646727100575, 3.0666191775077145]"
"[-0.9408110925328501, -0.2344897283518545, 1.8603536865625747, 2.298125568724725]","[-1.0147228670107724, -0.3820103584338855, 14.844059429017284, 14.883979923257968]","[1.8652484499388429, -0.1392825989322427, 10.209445012586434, 10.379907634480887]","[0.0902855096047474, 0.7557826857180024, 2.117561500470845, 2.4379868735364516]"
"[0.28998404832667507, 1.3970218763539146, 17.235620548972303, 17.32000955327207]","[0.8743155650024843, -2.1597225134440716, 7.197915142211456, 7.566371326449936]","[-1.1557876991746716, 0.35742405858052684, 2.589319027238059, 2.8599534613340656]","[-0.008511914154489014, 0.40527657850962284, 2.00856491021529, 2.2536656589439317]"
"[-0.10797091617989531, -1.8376744920356451, 17.53826305488327, 17.659550690368278]","[-0.2524091316121122, 0.44327929168757846, 8.565378877368532, 8.581205383044697]","[0.24197648989055603, 0.6512949905783235, 0.13109463173708252, 0.7149036311604897]","[0.11840355790145138, 0.7431002097697387, 2.7966830646482093, 3.044340295426523]"
"[-1.6387260978883311, 0.047387664599186294, 13.394290007502917, 13.526826234033352]","[0.9266559770006009, 1.0600555854359968, 2.4597891362639173, 2.8362184950689144]","[1.3464091883912939, -1.7134873544513196, 9.295336537696121, 9.547947506058128]","[-0.6343390675035637, 0.6060441044161367, 3.8820039471741468, 4.089007764839595]"
"[-0.43370977826832, 1.730375793783183, 9.40920038185001, 9.622666508367974]","[-0.49220519036918026, 0.6693124108997759, 4.806468402483282, 4.878887902980046]","[0.4942426103076553, -2.9318138078616784, 13.049447037181485, 13.38428330359832]","[0.43167235832984513, 0.5321256031787381, 1.7663038071222301, 2.1141622850535544]"
"[-0.8903795436667543, -0.19933306736777495, 8.782393496925113, 8.879374937704961]","[-0.6452890647138348, -2.1231872054489296, 7.4489578022261265, 7.773188395937074]","[1.3012423956281474, 0.3188480794870382, 2.840270083682683, 3.142163845377813]","[0.23442621275244357, 2.0036721933296615, 9.959798245803185, 10.20527282098015]"
"[0.6513332978988454, 0.06110494101426803, 12.350505947403505, 12.403359237787217]","[-0.05525109386110219, 0.32792767399380773, 5.9277730400639115, 5.938033855597018]","[-1.2193369264366676, 0.1969910052528473, 0.5155696973475842, 1.3425958893537642]","[0.6232547223989249, -0.5860236202609231, 10.237570943822107, 10.316011017262]"
"[1.990343202967182, -0.028011537426038877, 9.747530479668733, 9.992845215947336]","[-0.04572897454003515, -0.9043622181092403, 1.3197929019645223, 1.604050833887717]","[-2.6226875086083514, 0.5549305603094996, 14.055061907171567, 14.30882128345885]","[0.6780732801812042, 0.3774431952257793, 3.909034339832286, 4.0942826667060945]"
"[1.3142547984783344, -0.04490934591636737, 11.321376773505907, 11.436048658445667]","[-1.0423020956789906, 1.757593453268938, 4.640458154845338, 5.071542556803132]","[-1.1039497099718125, -1.3379631370191838, 4.508025701351455, 4.8313879636371935]","[0.8319970071724634, -0.3747209703333858, 8.56155899893442, 8.661020821114015]"
"[-0.5999384830890749, -1.1245608594323389, 4.976428585155719, 5.2220454918735975]","[-1.2308800963803557, 0.0810276816712252, 5.1039259874962655, 5.251938251318844]","[1.4209266560779659, 0.9754489433586222, 18.129353621367436, 18.2114019104682]","[0.40989192339146313, 0.0680842344024809, 0.8217114346176366, 1.3146143463392974]"
"[0.02649429407245547, -0.7770779244072314, 4.326115050935241, 4.494460793925326]","[0.4754462866400285, -1.1802644745135762, 7.049160893291627, 7.163861131663191]","[1.556838692444298, 1.3424775904506987, 4.137862752392145, 4.621586801711322]","[-2.0587792731567913, 0.614864808470108, 13.518280932018078, 13.720091272700138]"
"[-0.9551609834951229, -0.1878127104686425, 7.077774346934156, 7.205751187121865]","[2.831716465592888, 0.36116686610823434, 13.0596856660421, 13.368455892715277]","[-0.43659277648801886, -1.0114861080444366, 4.49445352695892, 4.628714024241061]","[-1.4399627056097417, 0.8381319524048438, 4.399506088701926, 4.797078895921789]"
"[0.5797839412612439, 0.12377981998091757, 4.632377981707639, 4.763480972332383]","[-0.9847637595099933, 0.024914546182061792, 3.6984473052240108, 3.8288453193016885]","[2.1206061235365774, 1.541851355620969, 13.609076176352275, 13.859740037992562]","[-1.715626305287839, -1.690545721783964, 7.091518165353131, 7.5479336703733075]"
"[-0.8442201741516828, 1.0166930022785454, 11.289300151621202, 11.405043823795914]","[-1.3425280552818684, 0.03999406661764307, 1.85633960997712, 2.293717825958009]","[1.4687806490512665, 0.5520244561833272, 5.277907542828582, 5.507224277152947]","[0.7179675803822831, -1.608711525079522, 10.6078723242102, 10.794014073093122]"
"[-1.3804087367052766, 0.3595623950068723, 3.7428922091004404, 4.113928758644723]","[1.7927962727591842, -1.0892532464338298, 19.062672199842776, 19.17804020545657]","[0.6069945808030832, 0.205007399661169, 0.5787126030151699, 0.8697944268002278]","[-1.019382116857002, 0.5246834517657928, 5.647142616678697, 5.838236609098457]"
"[-0.948106899922587, 0.7933874232608585, 9.91080418334784, 10.031588319090769]","[0.4374573813473936, 2.0303930283105656, 9.644969988280863, 9.866634405799681]","[-0.5850881668506273, -0.9731956101152126, 3.5406096595627594, 3.719747065714182]","[1.0957376854258194, -1.8505848414562043, 5.935035797445631, 6.382030209395353]"
"[-0.6212782604619997, -1.629862782122287, 15.576460493951148, 15.701876169142174]","[1.4338974259193034, 1.4118306400592209, 5.1287689347515, 5.510423031247607]","[-1.052669522233377, -0.46991311756645165, 1.7054461113944395, 2.061223304965884]","[0.24005035677607411, 0.68794525962952, 6.620744088540018, 6.726477494644328]"
"[1.568461260399376, -0.059342401548690936, 7.249825569036225, 7.47689222695035]","[0.13539627707890775, -0.39031067339060765, 11.715242936205389, 11.723001119205087]","[0.6386242749505251, 0.6138805302550265, 0.8114171482245343, 1.2059235760939062]","[-2.342481812428808, -0.1642274553157278, 9.254933975170932, 9.594183077750625]"
"[-1.5048331794631429, -0.46480852164236214, 4.920278241797199, 5.250720158463164]","[-0.8462348773035187, 1.2137010842781517, 10.37380465470696, 10.479321085668033]","[0.5124342811802993, -1.4908874498583358, 7.3041982528738965, 7.473139234011629]","[1.8386337755863327, 0.7419948872225215, 6.433138479259035, 6.796819521857149]"
"[0.8014259694148693, -0.2967473954103673, 9.745072504124495, 9.827366639022005]","[-1.2503719023996838, 2.1953067687360304, 7.54684079254033, 7.959194134086917]","[0.6528339197582211, -0.23194323187100477, 7.779802938443034, 7.811305087088106]","[-0.20388798677340403, -1.6666161414546685, 3.959703393529212, 4.402134139802935]"
"[1.687200224709495, -1.0267313426697207, 10.385372501664751, 10.613064505250051]","[0.31892131968760395, 0.2698451590206359, 0.11935696710289677, 0.4471430605054234]","[-2.2970509816618074, 1.4591747380703242, 13.182158236296432, 13.460538381071462]","[0.29092943726470943, -0.7022885544212398, 5.344531923573009, 5.479254053173045]"
"[-2.2922848763877317, -0.1330429063002908, 8.118804567110992, 8.489264533183015]","[0.20418436893208003, -0.7446805344651655, 14.960132605056561, 14.980419604562748]","[0.9248293883053113, 0.4099252938145965, 1.5162754931833868, 1.825815743215803]","[1.1632711191503278, 0.4677981469508635, 4.436206963286142, 4.704500119038405]"
"[-0.3379259210081916, 0.13742791569737892, 1.5841420220241118, 1.8769498267212157]","[-0.14960367024725005, -0.536663793343544, 7.493246674425553, 7.514672223190505]","[1.2636429887315215, 2.3942843518353896, 8.61607647294988, 9.032016860098224]","[-0.7761133974760933, -1.9950484741892471, 11.33795445923751, 11.57636108999]"
"[-0.19289162103286767, 1.1772912601530305, 5.627788159254675, 5.828857160724435]","[-0.38634483386001095, -2.151508470351591, 8.207455858337008, 8.494218404783306]","[-1.3436524907680494, 0.7692819094721207, 8.614668633075981, 8.753335132556929]","[1.922888945660929, 0.20493530072644092, 6.58150697796939, 6.9235893019352766]"
"[-0.6551589126884483, -0.7183024110344626, 11.237717063563124, 11.31864968541985]","[0.5244942784875603, 0.9014331041260029, 2.156007083543796, 2.3973331113208802]","[-1.487224254566912, -0.8759497638920404, 12.099101847075511, 12.22205191819707]","[1.6178888887678238, 0.6928190708004998, 3.538593634454654, 4.0619652850621755]"
"[0.7228278318617722, -0.10119518325872291, 1.643478619921165, 2.028323657543523]","[-0.9579369283820015, -0.45180991551621963, 1.2476763983836605, 1.6400107824536825]","[1.403246176536288, 0.243308676313145, 7.9563608668444585, 8.083510425573216]","[-1.1681370800160578, 0.30969642246179707, 18.183903743487818, 18.248155134429574]"
"[0.4167246370599848, -0.07271013932588848, 0.47243616911881503, 1.1324736055949494]","[-1.2354591448169194, -0.8119435859873513, 14.800862930671535, 14.87488886650346]","[1.0206080083502227, 1.1470032285869554, 9.127646756472151, 9.256476437446276]","[-0.2018735005933522, -0.26234950327361556, 4.630473772374536, 4.7361610904552425]"
"[1.6764255025278487, -1.486517372460477, 6.849832503685654, 7.267784809602237]","[-1.1346945882376942, 1.0488308496286394, 17.333813578572688, 17.40286857817939]","[0.11104277155719974, -0.5129640123388053, 0.49296529253220206, 0.7277643627405723]","[-0.6527736858473923, 0.9506505351706629, 4.354808253846629, 4.601582249477866]"
"[-0.004218074145100291, -0.18987279918861158, 7.6722485306123875, 7.731741157946841]","[-0.22461945725579335, 0.4776667740904334, 11.061546811191988, 11.07463773298267]","[1.0730276960506486, 1.684643427931784, 3.9435263483739225, 4.421761593420531]","[-0.844190164649755, -1.9724374028336047, 6.354097938458819, 6.771859515649964]"
"[0.08496978255104558, 0.26302380521659985, 1.73698642337266, 1.9934586945864554]","[-0.030571261167605057, 0.9237684629919777, 12.579809391331702, 12.614160721602893]","[1.8208932186273126, 0.20869491172451593, 4.262568968130232, 4.641105848917203]","[-1.8752917400107767, -1.3954871799331081, 10.452054845802456, 10.75127473489339]"
"[-0.3445148926275869, -0.7272323372562749, 7.521799484696288, 7.622688450773438]","[0.6729248440303228, -0.019273425586830553, 5.588943130573052, 5.6303328711889495]","[-0.5133109752445457, 1.5430790752527357, 1.330468057683942, 2.1037799445927376]","[0.18490102384181029, -0.7965733124096267, 14.590208955683828, 14.643198733444876]"
"[-2.065329014242144, 0.18074536694980278, 5.367076654948792, 5.829589950487473]","[1.436208000227567, 0.8422826484159536, 8.025664029824418, 8.197230032902688]","[-0.5237988982992667, -1.5226037534523797, 9.574218733306378, 9.709248963851199]","[1.1529199123138663, 0.4995757380866062, 6.064460210557522, 6.263931052758641]"
"[-0.4477065891002208, -0.250149311887197, 11.520659386312216, 11.570175578165145]","[2.7888882918237328, 0.4519550020938241, 7.911460805501026, 8.401460403890034]","[-0.6610858164369321, -0.6422626772402229, 3.0220290181087592, 3.1612274202475934]","[-1.6800958862865865, 0.44045698703359637, 6.577270418715091, 6.867136597697209]"
"[0.4016624840968499, 1.44517812631928, 7.611451667217446, 7.814372872873024]","[-1.1673501965178212, -2.2765593535773987, 11.441370630647652, 11.72439996300372]","[1.2121065827980118, -0.4179556931150744, 2.540068526404777, 2.8472795895847165]","[-0.44641887037704026, 1.249336920373194, 7.4385288043672215, 7.613947574538527]"
"[-1.343987258865006, -0.13565027645692104, 11.101853002410468, 11.223020858156179]","[1.2129935160992187, -1.841463848039206, 4.078722786647379, 4.637831988873105]","[-0.7320380708763047, 0.6013432386860688, 4.0758206336564164, 4.185805881622934]","[0.8630318136420925, 1.3757708858100577, 9.77502320592284, 9.953341271347778]"
"[-0.6900714698920352, 0.1250140935209302, 10.212873492074646, 10.279832998071651]","[0.13942248227201315, 1.9740805583722092, 10.35840761650231, 10.546288666734048]","[-0.1752978324218413, -0.17413437329372453, -0.12469816505040102, 0.2962521820090629]","[0.7259468200418631, -1.9249602785994218, 8.584836685110558, 8.877626153185236]"
"[1.8477739875913874, 0.5961078575643198, 6.10866322326519, 6.4780964803193495]","[-0.828065373739702, 0.6422439033209155, 8.747959741265134, 8.811136858674883]","[0.4642085788173953, -1.9463542180290108, 6.266685617100702, 6.579232218369236]","[-1.4839171926690815, 0.7080024571437735, 7.90811104700609, 8.131534442636534]"
"[0.4417368950589629, 0.20785398171333952, 11.461593935573351, 11.510292118453215]","[-1.8528727268609237, -0.17899721781276767, 14.386975683106332, 14.507288177505353]","[0.20751245362943746, 0.6568588165285525, 0.6943811387129918, 0.9837955590603933]","[1.2036233781725267, -0.6857155804291256, 2.488468871244442, 2.998624144981041]"
"[0.43711269888744253, -1.2499682227133646, 14.875711551455922, 14.963977966350559]","[-0.8677257259439399, -0.43384260420226284, 0.9502443513843856, 1.3620922439349954]","[0.27188653931385803, 0.38526895402423034, 10.601410301077744, 10.612418124157955]","[0.15872648774265535, 1.2985418728913982, 2.6040534247190577, 3.0615116655564885]"
